Geography,Gender,Age,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited
France,Male,29,0.0,2,1,1,0
Germany,Male,30,142910.15,1,1,0,1
France,Female,37,0.0,2,1,1,0
France,Male,35,146311.58,1,1,1,0
France,Male,52,87894.26,1,1,0,1
France,Female,19,97445.49,2,1,0,0
France,Female,64,0.0,1,0,1,1
Spain,Male,35,0.0,2,0,1,0
France,Male,34,154485.74,2,0,0,0
France,Male,50,115625.07,1,1,0,0
France,Male,25,108396.67,1,1,0,0
Germany,Male,38,65095.41,2,1,1,0
Germany,Male,43,103018.45,1,1,0,1
France,Female,38,84764.79,1,1,1,0
France,Female,38,0.0,2,1,0,0
Spain,Female,35,115680.81,1,1,1,0
France,Female,39,0.0,2,1,0,0
Germany,Male,36,73088.06,2,0,0,0
Germany,Female,27,150905.03,2,1,0,0
Spain,Female,23,143054.85,1,0,1,0
Spain,Female,28,0.0,2,0,0,0
France,Male,60,0.0,2,1,1,0
Germany,Female,42,99948.45,1,0,1,0
France,Male,44,115451.05,2,0,0,0
Germany,Male,32,108235.91,1,1,1,0
France,Male,38,0.0,1,0,1,1
Spain,Male,42,98795.61,2,1,0,0
France,Female,37,0.0,2,1,0,0
France,Male,31,0.0,2,0,0,0
France,Male,34,0.0,2,0,1,0
Germany,Male,29,113146.98,2,0,1,0
Germany,Female,39,162532.14,3 or more,1,0,1
Spain,Female,40,92053.44,1,1,1,0
France,Male,48,0.0,2,1,1,0
France,Female,28,0.0,3 or more,1,0,1
Germany,Female,29,104944.1,1,1,1,0
France,Male,31,0.0,2,1,0,0
France,Female,31,0.0,2,1,0,0
France,Female,30,107879.04,1,0,1,0
Germany,Male,46,110356.42,1,1,0,1
France,Male,27,0.0,2,0,0,0
Spain,Female,34,109783.69,2,1,0,0
France,Male,22,149777.0,1,1,1,0
France,Female,38,104339.56,1,0,0,0
Spain,Female,21,85818.18,1,1,1,0
France,Male,37,212692.97,1,0,0,0
Germany,Male,37,89696.84,2,1,1,0
France,Female,28,0.0,2,1,1,0
Germany,Female,32,68067.24,1,1,0,0
Spain,Male,67,148564.66,1,0,1,0
France,Female,55,136354.16,1,1,1,0
France,Male,38,122214.0,1,0,1,0
France,Male,45,0.0,2,1,1,0
Germany,Male,70,119684.88,2,1,1,0
France,Female,39,135139.33,1,0,1,0
Germany,Female,42,146100.75,1,1,0,1
Spain,Female,56,123110.9,3 or more,0,1,1
Germany,Female,44,111760.4,3 or more,1,1,1
France,Female,32,110728.39,1,1,1,0
France,Female,41,121558.46,1,1,1,0
Germany,Female,38,120623.21,1,1,0,0
France,Female,58,114713.57,1,1,1,0
Germany,Female,37,103457.76,1,0,0,0
Germany,Male,57,101134.87,2,1,1,0
Germany,Male,46,78136.36,2,1,1,0
France,Male,23,0.0,2,1,0,0
Spain,Male,30,133446.34,1,0,0,0
France,Female,33,0.0,2,1,1,0
Germany,Female,48,108076.33,1,1,0,1
France,Male,32,131354.25,1,1,0,0
Germany,Female,37,62974.64,2,0,1,0
Germany,Female,30,143340.44,1,1,0,0
Germany,Male,36,116993.43,2,1,0,0
France,Male,31,58662.92,2,0,1,0
Spain,Male,41,128808.65,3 or more,0,0,1
France,Male,45,137555.44,1,0,0,0
Germany,Male,34,142393.11,1,1,1,0
France,Female,38,0.0,2,1,0,0
France,Female,41,125785.23,1,1,1,0
France,Male,22,136444.25,1,1,0,1
Spain,Male,38,121527.4,1,1,0,0
Germany,Male,52,144696.75,1,1,1,0
France,Male,36,0.0,2,1,1,0
France,Female,35,0.0,2,1,1,0
Germany,Male,48,128140.17,1,1,0,1
France,Male,25,120383.41,1,1,1,0
France,Female,57,0.0,3 or more,1,1,1
France,Male,42,129735.3,2,1,1,0
Spain,Female,31,185078.26,1,0,0,1
France,Female,28,0.0,2,0,0,0
France,Male,42,0.0,1,1,1,0
Spain,Male,31,0.0,2,0,1,0
France,Male,29,144591.96,1,1,1,0
France,Female,45,0.0,2,1,0,1
France,Male,36,0.0,2,0,0,0
France,Male,37,0.0,1,1,0,0
Germany,Male,68,100194.44,1,1,1,0
Germany,Male,50,145295.31,2,1,1,0
Germany,Male,28,106070.29,2,1,1,0
Germany,Female,47,120621.89,1,1,1,0
France,Male,38,0.0,2,0,1,0
France,Male,36,0.0,2,1,1,0
France,Male,30,0.0,1,1,1,0
Germany,Female,27,171283.91,1,1,1,0
France,Male,26,0.0,2,1,1,0
Germany,Female,38,128218.47,1,1,0,1
France,Female,32,0.0,2,1,1,0
Germany,Male,28,77776.39,1,1,0,0
Germany,Female,72,124978.19,2,1,1,0
France,Male,29,0.0,2,0,0,0
France,Female,28,0.0,1,1,1,0
Spain,Male,51,109799.55,2,1,1,1
France,Male,39,0.0,2,0,0,0
Germany,Female,61,125397.21,1,1,0,1
Spain,Female,71,0.0,2,1,1,0
Germany,Male,38,111347.37,2,0,1,0
Spain,Male,40,104291.41,2,1,1,0
Germany,Female,61,94867.18,2,1,1,1
France,Male,24,0.0,2,0,0,0
France,Female,33,135703.59,2,0,0,0
Germany,Female,37,106453.53,2,0,1,0
France,Male,43,132412.38,1,0,0,1
Germany,Female,40,124401.6,1,1,0,1
France,Male,46,118022.06,3 or more,1,0,1
Germany,Male,39,82531.11,1,1,0,0
Spain,Male,44,184552.12,1,1,0,1
Germany,Male,39,127278.31,1,1,1,0
Spain,Female,66,0.0,1,1,1,0
France,Female,45,0.0,2,0,1,0
Germany,Male,23,184244.86,1,1,0,0
France,Male,52,59669.43,1,0,0,1
France,Female,25,79543.59,1,0,1,0
France,Female,39,151553.19,1,1,1,0
Germany,Male,27,166527.88,2,0,1,0
Germany,Male,28,150329.15,1,1,0,0
France,Male,43,121911.59,1,1,0,0
France,Male,51,156773.78,2,1,0,0
Spain,Male,29,127864.26,1,1,1,0
France,Male,53,113709.28,1,1,1,1
Germany,Female,43,79974.55,1,1,1,0
France,Female,44,0.0,2,1,1,0
France,Female,51,0.0,1,1,0,1
Spain,Male,38,0.0,1,1,0,1
France,Male,33,144427.96,2,1,0,0
France,Male,42,99263.09,1,1,1,0
France,Female,32,79368.87,2,1,1,0
France,Female,30,0.0,2,1,1,0
Spain,Female,34,0.0,2,1,1,0
France,Male,28,0.0,3 or more,1,1,0
France,Female,52,125095.94,1,1,0,1
Germany,Female,40,162485.8,2,1,0,0
Germany,Male,37,95668.82,2,1,0,0
France,Male,25,0.0,2,1,0,0
Spain,Female,30,0.0,2,1,1,0
France,Male,37,0.0,1,1,0,0
France,Female,34,74197.38,2,1,0,0
France,Female,31,89688.94,1,1,1,0
Spain,Female,33,103121.33,2,1,1,0
Spain,Female,34,0.0,1,1,0,0
Germany,Female,59,120170.07,1,0,1,0
France,Male,32,149136.31,2,1,1,0
France,Male,40,141136.79,1,1,1,0
France,Female,43,152341.55,1,1,0,0
France,Male,36,120026.98,2,0,1,0
Spain,Male,33,132168.28,1,0,0,0
Germany,Male,43,85200.82,2,1,1,0
Spain,Male,53,84903.33,2,0,1,0
France,Female,32,0.0,2,0,0,0
France,Male,20,0.0,1,1,1,0
Spain,Male,40,0.0,1,1,0,0
France,Male,30,121535.18,1,0,0,0
Spain,Male,35,116662.96,2,1,1,0
France,Male,60,0.0,2,1,1,0
Germany,Female,49,124829.16,1,0,1,0
Spain,Female,36,155180.56,2,0,0,0
Germany,Female,32,108262.87,1,1,1,0
Spain,Male,40,0.0,2,1,0,0
France,Male,38,0.0,2,1,0,0
Spain,Male,48,0.0,1,1,1,1
Germany,Male,38,99812.88,2,1,1,0
France,Male,35,132164.26,1,0,1,0
Germany,Male,45,103583.05,1,1,0,1
Germany,Male,39,142406.43,2,1,0,0
Spain,Male,38,99842.5,2,1,0,1
France,Female,41,0.0,2,1,1,0
France,Male,41,0.0,1,0,0,0
France,Female,39,81042.42,1,0,1,0
France,Female,48,0.0,1,1,0,1
France,Male,40,0.0,2,1,1,0
France,Male,53,199689.49,1,1,1,1
France,Male,33,142645.43,1,0,0,0
Spain,Female,75,0.0,2,1,1,0
Germany,Female,45,110219.14,1,1,0,1
Spain,Male,51,0.0,2,0,1,0
France,Male,25,0.0,2,0,0,0
Spain,Male,32,0.0,2,1,0,0
France,Male,45,142072.02,1,1,0,0
France,Female,25,0.0,2,1,0,0
Germany,Male,33,149564.61,1,0,0,0
France,Female,43,0.0,2,1,0,0
Germany,Male,37,153366.13,1,1,1,0
France,Male,21,76467.16,1,1,1,0
France,Female,26,121508.28,1,1,1,0
Spain,Female,27,0.0,1,0,1,0
Spain,Male,36,73211.12,2,1,0,1
France,Male,22,0.0,2,1,0,0
France,Female,55,0.0,2,0,1,0
Spain,Male,38,92674.94,2,1,0,0
Spain,Male,52,96196.24,3 or more,1,0,1
Germany,Female,36,114391.62,1,1,1,0
Germany,Male,32,80262.66,1,1,0,0
Spain,Female,33,173331.52,1,1,0,0
Spain,Female,35,147285.52,1,1,1,0
Spain,Male,67,119785.47,2,1,1,0
Spain,Female,36,140137.15,1,1,0,0
Germany,Female,52,107467.56,1,1,0,1
Germany,Female,37,98218.04,2,1,0,1
Germany,Female,35,133607.75,1,1,1,0
France,Male,37,0.0,2,1,1,0
France,Female,38,95139.41,1,1,1,0
France,Female,29,0.0,2,0,1,0
Spain,Male,42,0.0,2,1,0,0
France,Female,37,0.0,2,1,0,0
Germany,Female,26,97331.19,1,1,0,0
Germany,Male,37,139265.63,2,1,1,0
France,Female,31,0.0,1,0,1,0
Spain,Male,34,168094.01,1,0,0,0
Germany,Female,30,131563.88,2,1,0,0
France,Male,44,0.0,2,1,0,0
France,Male,50,0.0,2,0,0,0
France,Male,31,0.0,1,1,1,0
Germany,Male,47,107363.29,1,1,1,0
France,Female,33,94493.03,1,0,1,0
Germany,Female,29,170214.23,2,1,0,0
France,Male,52,139781.06,1,1,0,1
France,Female,35,0.0,2,1,0,0
Spain,Female,26,148610.41,3 or more,0,1,1
France,Male,73,170241.7,2,1,1,0
France,Female,33,128306.83,1,1,1,0
France,Female,47,0.0,2,1,1,0
France,Female,35,0.0,1,1,1,0
Germany,Male,32,175454.0,1,0,1,0
Spain,Male,41,0.0,2,1,0,0
France,Female,22,100885.93,2,1,1,0
France,Male,69,93320.8,1,1,1,0
Germany,Male,38,63176.44,2,1,1,0
France,Male,33,139451.67,1,0,0,0
France,Female,52,49113.75,1,1,0,0
Germany,Male,32,123906.22,3 or more,1,1,1
France,Female,40,0.0,2,1,1,0
France,Male,28,0.0,2,0,0,0
Germany,Female,52,131441.51,1,1,0,1
France,Male,56,0.0,1,1,0,1
France,Male,57,136325.48,2,1,1,1
Germany,Female,38,113150.44,2,1,0,1
Spain,Female,42,0.0,1,0,0,0
France,Female,33,0.0,2,1,1,0
Germany,Female,46,102785.16,1,1,1,0
Spain,Male,34,83264.28,1,0,0,0
Germany,Male,41,72252.64,2,1,1,0
Germany,Female,29,148051.52,1,1,0,0
France,Female,76,138489.66,1,1,1,0
France,Male,63,0.0,2,1,1,0
France,Male,32,111589.33,1,1,1,0
Germany,Female,39,122104.79,1,1,0,1
Germany,Male,32,96106.83,1,1,1,0
Germany,Male,42,115930.87,1,1,0,0
Germany,Female,37,124513.66,2,1,0,0
France,Female,54,0.0,1,1,0,1
Spain,Male,46,0.0,1,1,0,0
France,Male,33,0.0,1,1,1,1
Spain,Male,35,100988.39,2,1,0,0
France,Male,44,118577.24,1,1,1,0
Spain,Male,28,0.0,2,1,0,0
France,Male,27,0.0,2,1,1,0
France,Female,39,0.0,1,0,1,1
Spain,Female,28,0.0,2,1,1,0
Spain,Female,26,0.0,2,0,1,0
France,Female,42,113311.11,1,1,1,0
France,Female,41,0.0,1,0,0,0
France,Male,32,0.0,2,1,0,0
Germany,Male,20,124365.42,1,0,0,1
France,Male,42,147249.29,2,1,1,0
France,Male,36,103688.19,1,0,1,0
France,Female,29,138740.24,2,0,0,0
Spain,Male,39,111900.14,1,1,1,0
Spain,Female,37,152760.24,1,1,1,0
Germany,Male,31,143966.3,2,1,1,1
France,Male,51,141556.96,1,1,0,0
France,Female,43,0.0,2,1,1,0
France,Female,33,0.0,2,1,0,0
France,Female,46,0.0,1,1,1,0
France,Male,30,0.0,2,1,0,0
France,Female,41,0.0,1,1,1,1
France,Male,29,0.0,2,0,1,0
France,Male,25,162560.32,1,1,0,0
Germany,Female,29,123229.46,1,1,0,0
Spain,Male,31,76665.71,2,1,1,0
France,Male,38,140278.99,3 or more,1,1,1
France,Female,51,0.0,2,0,1,0
France,Male,46,115764.32,2,0,0,0
Germany,Male,36,131142.53,2,1,0,0
France,Male,45,68375.27,1,1,0,1
Germany,Female,39,117833.3,3 or more,0,0,1
Spain,Female,36,0.0,2,1,1,0
France,Male,34,0.0,2,0,0,0
France,Male,45,0.0,1,0,1,1
Spain,Male,30,111093.01,1,1,0,0
Spain,Male,42,132657.55,1,1,0,0
France,Female,56,128882.49,1,1,1,1
Germany,Male,59,69129.59,1,1,1,0
France,Male,37,0.0,2,1,1,0
France,Male,39,121404.64,1,1,1,0
Spain,Female,45,131355.3,3 or more,1,0,1
France,Female,35,102097.33,1,0,1,0
France,Male,40,154863.15,1,1,1,0
Spain,Female,41,99945.93,2,1,0,0
Germany,Male,39,121704.32,2,1,0,0
Spain,Female,43,0.0,2,1,0,0
Germany,Male,35,138782.76,1,1,1,0
France,Male,35,0.0,2,1,1,0
France,Male,30,136291.71,1,1,0,0
Germany,Male,42,107856.57,2,1,0,0
Germany,Female,26,108348.66,1,0,0,1
France,Male,47,93871.95,3 or more,1,0,1
Spain,Female,45,0.0,1,1,0,1
Germany,Male,19,125860.2,1,0,0,0
France,Male,49,172713.44,1,1,0,0
France,Female,51,0.0,2,0,1,0
Spain,Female,59,0.0,1,1,1,0
France,Female,39,130786.92,1,0,1,0
France,Female,29,112367.34,1,1,0,0
Spain,Female,45,91091.06,2,1,0,0
France,Female,26,106198.5,1,0,1,0
France,Male,47,142669.93,2,1,0,0
France,Male,33,112833.35,1,0,1,0
France,Female,40,0.0,2,0,1,0
Spain,Female,43,0.0,2,1,1,0
Germany,Female,32,104336.43,2,0,0,0
France,Male,55,104305.74,1,0,1,0
Germany,Male,47,140187.1,2,1,1,0
France,Male,39,0.0,2,1,0,0
France,Female,45,114959.12,1,1,0,1
France,Male,33,164704.38,1,0,1,1
France,Male,62,119096.55,1,0,1,0
France,Male,31,0.0,2,1,1,0
France,Male,47,0.0,1,1,0,1
Spain,Male,30,0.0,1,1,0,0
France,Female,41,115465.28,1,1,0,0
France,Female,27,0.0,2,1,0,0
Spain,Male,43,184926.61,1,1,0,0
Germany,Male,43,85957.88,2,1,0,0
France,Male,32,114084.6,1,0,1,0
Spain,Female,29,166930.76,2,1,0,0
France,Female,27,0.0,1,1,0,0
France,Male,29,0.0,2,1,1,0
France,Female,38,107193.82,2,0,0,0
France,Male,36,116275.12,1,1,1,0
Spain,Female,27,0.0,2,1,1,0
France,Male,39,91068.56,1,1,0,0
Germany,Male,41,123049.21,1,0,1,0
France,Female,39,0.0,2,1,1,0
France,Male,40,0.0,2,0,0,0
France,Female,42,137781.65,1,0,0,0
Germany,Female,48,108128.96,2,1,1,0
Spain,Male,39,105317.73,2,1,0,0
France,Male,20,80569.73,1,0,0,0
France,Female,22,174852.89,1,1,1,0
Spain,Female,45,89158.94,3 or more,1,0,1
France,Female,85,0.0,2,1,1,0
France,Male,36,89800.14,1,1,1,0
Germany,Male,45,101207.75,1,0,0,1
France,Male,43,106086.42,2,1,0,0
France,Male,21,0.0,2,1,1,0
France,Male,47,0.0,2,1,0,0
Spain,Female,26,101440.36,2,1,1,0
France,Male,38,0.0,2,1,0,0
France,Male,34,106603.74,2,1,1,0
Germany,Female,29,130420.2,2,0,0,0
France,Female,38,0.0,1,1,0,0
Spain,Male,29,45022.23,1,1,1,0
Germany,Male,27,74298.43,1,1,1,0
Germany,Female,31,133003.03,1,0,1,1
Spain,Male,48,0.0,2,1,1,0
Spain,Female,37,136689.66,1,1,0,0
France,Male,32,0.0,2,1,1,0
France,Female,44,0.0,2,1,1,1
France,Male,53,102520.37,1,1,1,0
France,Male,35,0.0,2,1,1,0
France,Female,34,0.0,2,1,0,0
Spain,Male,67,88382.01,1,0,1,0
France,Male,44,115049.15,2,1,0,0
France,Male,58,104796.54,1,1,1,0
France,Male,33,123082.08,1,1,0,0
Spain,Female,58,0.0,2,1,1,0
France,Female,33,0.0,2,0,0,0
France,Female,43,0.0,2,1,1,0
Germany,Male,33,88311.48,2,1,1,0
France,Female,40,0.0,3 or more,1,1,0
France,Male,32,71872.19,1,1,1,0
Spain,Male,35,110046.93,2,1,0,0
France,Male,42,104430.08,1,1,1,0
France,Female,28,0.0,2,1,0,0
Germany,Male,31,138653.51,1,1,0,0
France,Female,31,102575.04,1,1,1,0
France,Male,43,137780.74,2,1,1,1
Spain,Male,32,0.0,2,1,0,0
France,Male,32,0.0,2,0,1,0
France,Female,30,105209.54,1,1,0,0
Germany,Female,32,109570.21,2,1,1,0
Germany,Female,44,118715.86,1,1,0,1
France,Male,35,0.0,2,1,1,0
Germany,Female,43,153393.18,2,1,1,0
Germany,Male,33,132603.36,1,1,0,0
Spain,Female,36,0.0,2,1,1,0
Germany,Female,34,129398.01,2,0,0,0
Spain,Male,28,0.0,2,1,0,0
France,Male,29,151352.74,1,0,0,0
France,Female,44,136836.49,1,1,0,1
France,Male,40,91592.06,1,1,0,1
France,Female,30,0.0,2,1,0,0
France,Female,54,0.0,1,1,0,1
France,Female,22,0.0,2,1,1,0
France,Male,36,165536.28,2,1,1,0
Germany,Male,25,62482.95,1,1,1,0
France,Male,40,68155.59,1,1,0,0
Spain,Female,43,55853.33,2,0,1,1
France,Male,37,0.0,2,0,1,0
France,Female,31,79589.43,1,0,0,0
Spain,Male,41,100880.76,1,0,1,0
Germany,Female,25,174330.35,2,0,0,0
France,Male,19,143390.51,1,1,0,0
Germany,Male,59,91415.76,1,0,0,1
Germany,Male,30,134366.42,1,1,0,0
France,Female,24,0.0,2,1,1,0
Spain,Male,60,88786.81,1,1,1,0
Germany,Male,35,96814.46,2,1,1,0
Germany,Male,32,160680.41,1,1,0,0
France,Female,29,0.0,2,1,0,0
France,Female,47,0.0,2,1,0,0
Germany,Male,31,145537.21,1,1,0,0
France,Female,28,0.0,2,1,1,1
France,Female,45,0.0,2,1,1,0
Spain,Female,30,119370.11,1,1,1,1
Spain,Female,28,0.0,2,1,1,0
Germany,Female,47,134381.52,1,0,0,1
Germany,Female,74,114888.74,2,1,1,1
Germany,Male,42,149332.48,2,1,0,0
France,Female,40,105061.74,3 or more,1,0,1
France,Male,32,0.0,2,1,1,0
France,Female,40,0.0,1,1,1,1
France,Male,21,0.0,1,1,1,0
France,Female,39,155062.8,1,1,1,0
Spain,Male,43,88798.34,1,0,0,0
France,Male,33,0.0,2,1,0,0
Germany,Female,51,143139.87,1,0,0,1
Spain,Female,23,0.0,2,1,0,0
Germany,Male,27,107027.52,1,1,0,0
France,Male,29,140720.93,1,1,0,0
France,Male,30,80964.57,2,1,0,0
France,Male,39,178585.46,1,1,0,1
Spain,Female,26,135889.13,1,1,1,0
France,Male,43,134919.85,1,1,0,0
Germany,Male,33,115130.34,1,0,0,1
Spain,Female,34,138190.13,2,0,1,0
Germany,Male,37,131519.49,2,1,1,0
Spain,Female,56,0.0,1,1,0,1
Germany,Female,39,126935.98,2,0,1,0
France,Male,39,133707.09,1,1,1,0
France,Female,27,97893.2,1,1,0,0
France,Male,34,127900.03,1,1,0,0
France,Male,37,143835.47,1,0,1,0
France,Male,44,0.0,2,1,1,0
France,Male,48,0.0,1,1,0,1
France,Male,60,0.0,1,1,1,1
France,Female,40,129596.77,1,1,1,0
Spain,Male,30,0.0,2,1,0,0
Germany,Female,24,110407.44,2,0,0,1
France,Female,76,0.0,2,0,1,0
Germany,Female,41,142015.76,2,1,0,0
Spain,Male,55,81370.07,1,0,1,0
Germany,Female,48,69329.47,1,0,0,1
France,Female,28,116755.5,2,1,1,1
Spain,Male,44,83870.33,1,1,0,0
France,Female,39,130694.89,2,1,1,1
Spain,Female,34,117451.47,1,1,0,0
Germany,Female,35,206868.78,2,0,1,0
France,Female,39,111695.62,1,0,0,0
France,Female,40,137285.26,3 or more,1,0,1
France,Female,29,149218.39,1,1,1,0
France,Male,51,0.0,2,0,1,0
Spain,Male,32,0.0,2,1,1,0
Germany,Female,41,130701.29,1,1,0,1
Spain,Male,34,0.0,2,0,0,0
France,Female,31,167949.48,1,1,0,0
France,Male,23,131254.81,1,1,0,0
France,Male,28,0.0,2,1,1,0
Spain,Male,34,0.0,2,0,1,0
Spain,Male,34,86656.13,1,0,1,0
Germany,Female,37,114737.26,1,1,1,1
France,Female,38,0.0,2,1,0,0
France,Female,39,0.0,1,1,0,0
Germany,Male,62,119817.33,1,0,1,1
France,Female,48,130806.99,2,1,1,1
France,Female,49,0.0,1,1,1,1
Spain,Male,40,0.0,2,1,0,0
Germany,Female,35,80931.75,1,0,0,1
France,Female,56,0.0,3 or more,1,1,1
Germany,Male,32,132178.67,1,0,0,0
France,Female,27,0.0,2,1,0,0
Spain,Male,43,0.0,2,1,1,0
France,Female,35,164769.02,3 or more,1,0,1
Germany,Male,29,107233.85,2,1,0,0
France,Female,27,176227.07,2,0,1,0
France,Female,39,109949.39,2,1,1,0
France,Female,34,0.0,2,1,1,0
France,Female,60,117738.81,1,1,0,1
Spain,Female,37,133292.45,1,1,0,0
France,Female,43,160474.59,1,1,1,0
France,Male,43,0.0,2,1,0,0
Germany,Male,55,154393.43,1,1,1,1
Germany,Female,45,110827.49,1,1,1,1
Germany,Female,36,145750.45,2,1,1,0
Spain,Female,45,109044.3,1,0,1,0
France,Female,32,75170.54,1,1,1,0
France,Female,42,0.0,2,1,0,0
France,Female,28,105795.9,1,1,1,0
France,Male,32,0.0,2,1,0,0
Spain,Male,66,0.0,2,1,1,0
France,Female,49,0.0,1,1,0,1
France,Female,26,118097.87,1,1,0,0
Germany,Male,29,172693.54,1,0,0,0
France,Male,36,129440.3,2,1,0,0
Spain,Male,36,0.0,2,0,0,0
France,Male,23,96471.2,1,1,0,0
France,Female,46,0.0,1,1,1,1
Spain,Male,24,140197.18,1,1,1,0
France,Male,20,0.0,2,1,0,0
France,Female,33,135946.26,1,1,0,0
France,Male,69,0.0,2,1,1,0
Germany,Male,50,81290.02,3 or more,0,1,1
France,Female,42,0.0,1,1,0,1
Germany,Male,60,113715.36,1,1,0,1
Spain,Male,56,168883.08,1,0,1,0
Germany,Male,36,143421.74,1,1,0,0
France,Male,26,153644.39,1,1,1,0
Spain,Female,53,109330.06,1,1,1,0
Germany,Female,27,115095.88,2,0,0,0
France,Male,35,0.0,1,1,1,1
Spain,Male,46,183276.32,1,1,1,0
France,Male,33,68193.72,1,1,0,0
France,Female,32,0.0,2,0,0,0
Germany,Male,31,139729.54,1,0,1,0
Spain,Female,56,98365.33,1,1,1,0
France,Male,36,0.0,2,1,0,0
Germany,Female,37,122453.97,2,1,1,0
Germany,Male,30,132174.41,2,0,0,0
Spain,Female,24,0.0,2,0,1,0
France,Male,30,0.0,2,1,0,0
Spain,Male,39,104349.45,1,0,0,0
Germany,Female,41,138881.04,1,1,0,1
Germany,Female,32,116968.91,1,0,0,0
Germany,Male,35,105346.03,2,1,1,0
France,Male,26,136623.19,1,1,0,0
France,Female,29,0.0,2,1,1,0
France,Female,66,0.0,1,1,0,1
France,Female,33,0.0,2,1,1,0
France,Male,36,124445.52,1,1,0,0
France,Female,34,68999.66,2,1,1,0
Spain,Male,36,85768.42,1,1,1,0
France,Male,47,0.0,1,1,0,1
Spain,Male,34,100628.0,2,1,1,0
Spain,Female,32,0.0,1,1,1,0
Spain,Male,38,0.0,2,0,1,0
France,Male,54,0.0,1,1,0,1
Spain,Female,19,0.0,2,1,0,0
France,Male,50,125647.36,1,1,0,1
Germany,Female,31,100375.39,1,1,1,0
France,Female,36,0.0,1,0,0,0
France,Male,24,171922.72,1,0,1,0
Germany,Female,32,146810.99,2,1,1,0
Germany,Female,45,109032.23,1,0,1,1
France,Male,57,0.0,1,1,0,1
Spain,Male,25,0.0,1,1,0,0
France,Male,35,128653.59,1,1,0,0
France,Male,37,80387.81,1,0,1,0
France,Male,58,0.0,2,0,1,1
Germany,Male,43,108508.82,3 or more,1,0,1
France,Male,31,155978.17,1,1,0,0
France,Female,38,0.0,1,1,1,0
Germany,Male,50,121175.56,1,1,0,1
France,Female,29,89349.47,2,0,0,0
Spain,Male,38,86131.71,2,0,0,0
France,Female,58,102346.86,1,1,1,0
Germany,Female,36,121263.62,1,1,1,0
France,Male,31,0.0,2,1,0,0
Spain,Female,33,0.0,1,0,0,1
France,Male,51,0.0,2,1,1,0
Germany,Male,48,149726.08,1,0,0,1
France,Male,43,0.0,2,1,0,1
France,Male,35,161274.05,2,1,0,0
France,Female,33,0.0,2,1,0,0
Spain,Male,30,103138.17,1,1,1,0
Germany,Female,40,109628.44,1,1,0,0
France,Male,54,0.0,1,1,0,1
Germany,Male,33,97286.16,2,1,0,0
France,Female,33,118004.26,1,1,0,0
Spain,Male,32,85534.83,1,0,0,0
France,Female,59,0.0,1,1,1,1
Spain,Female,43,95140.44,2,1,0,1
France,Female,31,0.0,1,1,1,1
France,Male,25,0.0,2,0,1,0
Germany,Female,54,75900.84,1,1,1,0
France,Female,41,126619.27,1,1,0,0
France,Male,44,111833.47,1,1,0,0
Spain,Male,37,0.0,2,1,0,0
France,Female,57,238387.56,1,0,1,1
France,Female,32,108698.96,2,1,1,0
France,Female,39,112687.69,1,1,1,0
Germany,Female,48,81556.89,2,1,0,0
France,Male,48,136596.85,1,1,1,0
Germany,Female,43,98807.45,1,0,0,1
France,Female,31,0.0,2,0,1,0
France,Male,37,0.0,2,1,1,0
France,Female,30,107499.7,1,1,1,0
Spain,Female,23,0.0,2,1,0,0
France,Female,30,0.0,2,1,0,0
France,Female,28,0.0,2,1,1,0
France,Female,41,176024.05,2,1,0,0
France,Female,39,0.0,2,1,1,0
Germany,Male,39,127631.62,1,0,1,1
Spain,Female,19,0.0,1,1,0,0
Germany,Female,26,109819.16,2,1,0,0
Spain,Female,41,138734.94,1,1,0,0
Germany,Male,25,111363.1,2,1,0,0
France,Male,34,0.0,2,1,1,0
Germany,Male,28,143988.0,2,1,0,1
France,Male,34,118838.75,1,1,1,0
Spain,Male,35,161637.75,1,1,1,0
France,Female,44,133793.89,1,1,1,1
Germany,Male,35,71553.83,1,1,0,0
France,Female,62,0.0,1,1,1,0
France,Female,40,0.0,2,1,0,0
France,Female,38,0.0,2,1,1,0
France,Female,62,64667.95,2,0,1,0
France,Female,28,121164.11,1,1,1,0
Spain,Male,50,0.0,2,1,0,0
Spain,Male,72,98903.06,1,1,1,0
France,Female,31,104158.84,1,1,0,0
France,Male,54,0.0,2,1,1,0
Spain,Female,63,139529.93,2,1,1,1
France,Female,25,0.0,2,0,1,0
France,Male,53,64646.7,1,1,0,1
France,Male,71,0.0,2,1,1,1
France,Female,40,0.0,2,1,1,0
France,Male,35,118894.22,1,0,0,0
France,Male,24,0.0,1,0,1,0
France,Male,30,0.0,2,1,1,0
France,Female,41,68213.99,1,1,1,0
Spain,Female,31,0.0,2,1,0,0
Spain,Male,47,139196.0,1,0,1,0
France,Female,32,0.0,2,1,1,0
Germany,Male,50,126345.55,1,0,1,1
Spain,Male,40,0.0,2,1,1,0
France,Female,38,0.0,1,1,0,1
France,Female,43,0.0,2,0,0,0
France,Male,18,0.0,2,1,1,0
France,Male,34,129278.43,1,0,0,0
France,Male,31,119558.35,1,0,0,0
Germany,Female,41,92467.58,1,1,0,0
France,Male,27,0.0,2,0,0,0
Spain,Female,31,0.0,2,1,0,0
Spain,Male,36,0.0,2,1,0,0
Spain,Male,56,99340.83,1,0,0,1
Spain,Female,24,0.0,2,1,1,0
Spain,Female,28,126833.79,2,1,0,1
